iter	Passed	Remaining
0	0	485
1	0	417
2	1	399
3	1	403
4	1	392
5	2	382
6	2	366
7	2	358
8	3	355
9	3	345
10	3	342
11	4	339
12	4	336
13	4	338
14	5	349
15	5	360
16	6	355
17	6	353
18	6	350
19	7	344
20	7	349
21	7	348
22	8	347
23	8	344
24	8	344
25	9	343
26	9	347
27	9	345
28	10	342
29	10	346
30	10	343
31	11	341
32	11	339
33	11	339
34	12	336
35	12	332
36	12	333
37	13	333
38	13	331
39	13	330
40	14	331
41	14	331
42	14	332
43	15	329
44	15	330
45	15	331
46	16	330
47	16	329
48	16	328
49	17	328
50	17	329
51	18	329
52	18	329
53	18	329
54	19	328
55	19	328
56	19	326
57	20	325
58	20	325
59	20	325
60	21	325
61	21	325
62	21	324
63	22	323
64	22	324
65	22	323
66	23	323
67	23	320
68	23	319
69	24	319
70	24	319
71	24	318
72	25	318
73	25	318
74	25	317
75	26	317
76	26	316
77	26	315
78	27	315
79	27	314
80	27	315
81	28	314
82	28	313
83	28	313
84	28	310
85	29	309
86	29	307
87	29	307
88	29	306
89	30	306
90	30	305
91	30	304
92	31	304
93	31	303
94	31	301
95	32	301
96	32	301
97	32	301
98	33	301
99	33	301
100	33	300
101	33	298
102	34	298
103	34	297
104	34	297
105	35	298
106	35	296
107	35	297
108	36	296
109	36	295
110	36	294
111	37	294
112	37	293
113	37	293
114	38	292
115	38	291
116	38	290
117	38	290
118	39	289
119	39	288
120	39	288
121	39	287
122	40	286
123	40	286
124	40	285
125	41	285
126	41	284
127	41	283
128	41	282
129	42	281
130	42	281
131	42	280
132	42	280
133	43	279
134	43	279
135	43	279
136	44	278
137	44	278
138	44	278
139	45	277
140	45	277
141	45	276
142	46	275
143	46	275
144	46	274
145	46	274
146	47	273
147	47	273
148	47	273
149	48	273
150	48	273
151	48	273
152	49	272
153	49	272
154	49	272
155	50	272
156	50	272
157	50	271
158	51	271
159	51	271
160	51	270
161	52	270
162	52	270
163	52	269
164	53	269
165	53	269
166	53	268
167	54	268
168	54	267
169	54	267
170	55	267
171	55	266
172	55	266
173	56	266
174	56	265
175	56	265
176	56	264
177	57	264
178	57	263
179	57	263
180	58	262
181	58	262
182	58	262
183	59	262
184	59	261
185	59	261
186	60	261
187	60	260
188	60	260
189	60	259
190	61	259
191	61	259
192	62	259
193	62	259
194	62	259
195	63	258
196	63	258
197	63	257
198	63	257
199	64	257
200	64	256
201	64	255
202	65	255
203	65	255
204	65	254
205	65	254
206	66	253
207	66	253
208	66	252
209	67	252
210	67	252
211	67	251
212	67	251
213	68	250
214	68	250
215	68	250
216	69	249
217	69	249
218	69	248
219	70	248
220	70	248
221	70	248
222	71	247
223	71	247
224	71	247
225	72	246
226	72	246
227	72	245
228	72	244
229	73	244
230	73	243
231	73	243
232	73	242
233	74	242
234	74	241
235	74	241
236	74	240
237	75	240
238	75	240
239	75	239
240	76	239
241	76	239
242	76	238
243	77	239
244	77	238
245	77	238
246	77	237
247	78	237
248	78	236
249	78	236
250	79	236
251	79	235
252	79	235
253	79	234
254	80	234
255	80	233
256	80	233
257	81	233
258	81	233
259	81	232
260	82	232
261	82	232
262	82	231
263	83	231
264	83	231
265	83	231
266	84	231
267	84	231
268	84	230
269	85	230
270	85	230
271	85	229
272	86	229
273	86	229
274	86	228
275	87	228
276	87	228
277	87	227
278	88	227
279	88	227
280	88	226
281	88	226
282	89	225
283	89	225
284	89	225
285	89	224
286	90	224
287	90	223
288	90	223
289	91	223
290	91	223
291	91	222
292	92	222
293	92	222
294	92	221
295	93	221
296	93	221
297	93	221
298	94	220
299	94	220
300	94	220
301	95	219
302	95	219
303	95	219
304	96	219
305	96	218
306	96	218
307	97	218
308	97	217
309	97	217
310	98	217
311	98	217
312	98	216
313	99	216
314	99	216
315	99	216
316	100	215
317	100	215
318	100	215
319	101	214
320	101	214
321	101	214
322	101	213
323	102	213
324	102	213
325	103	212
326	103	212
327	103	212
328	103	211
329	104	211
330	104	211
331	104	211
332	105	210
333	105	210
334	105	209
335	105	209
336	106	209
337	106	209
338	107	208
339	107	208
340	107	208
341	108	207
342	108	207
343	108	207
344	109	207
345	109	206
346	109	206
347	110	206
348	110	206
349	110	205
350	111	205
351	111	204
352	111	204
353	111	204
354	112	203
355	112	203
356	112	202
357	113	202
358	113	202
359	113	202
360	114	201
361	114	201
362	114	201
363	114	200
364	115	200
365	115	200
366	115	199
367	116	199
368	116	199
369	116	198
370	116	198
371	117	198
372	117	197
373	118	197
374	118	197
375	118	197
376	119	196
377	119	196
378	119	196
379	119	195
380	120	195
381	120	195
382	120	194
383	121	194
384	121	194
385	121	193
386	122	193
387	122	193
388	122	192
389	123	192
390	123	192
391	123	191
392	124	191
393	124	191
394	124	191
395	125	190
396	125	190
397	125	190
398	126	190
399	126	189
400	126	189
401	127	189
402	127	188
403	127	188
404	128	188
405	128	187
406	128	187
407	128	187
408	129	186
409	129	186
410	129	186
411	130	185
412	130	185
413	130	185
414	131	184
415	131	184
416	131	184
417	132	184
418	132	184
419	133	183
420	133	183
421	133	183
422	133	182
423	134	182
424	134	181
425	134	181
426	135	181
427	135	180
428	135	180
429	136	180
430	136	180
431	136	179
432	136	179
433	137	179
434	137	178
435	137	178
436	138	178
437	138	177
438	138	177
439	139	177
440	139	177
441	140	176
442	140	176
443	140	176
444	141	175
445	141	176
446	142	176
447	142	175
448	143	175
449	143	175
450	143	175
451	144	174
